RECIP_ADDRESS_COUNTY,County
19153,Polk
19161,Sac
19027,Carroll
19013,Black Hawk
19017,Bremer
19019,Buchanan
19103,Johnson
19195,Worth
19033,Cerro Gordo
19081,Hancock
19169,Story
19139,Muscatine
19165,Shelby
19009,Audubon
19191,Winneshiek
19065,Fayette
19061,Dubuque
19147,Palo Alto
19183,Washington
19003,Adams
19173,Taylor
19041,Clay
19125,Marion
19123,Mahaska
19157,Poweshiek
19099,Jasper
19073,Greene
19113,Linn
19049,Dallas
19193,Woodbury
19171,Tama
19109,Kossuth
19187,Webster
19011,Benton
19141,O'Brien
19045,Clinton
19067,Floyd
19189,Winnebago
19131,Mitchell
19029,Cass
19135,Monroe
19127,Marshall
19063,Emmet
19159,Ringgold
19115,Louisa
19163,Scott
19149,Plymouth
19059,Dickinson
19093,Ida
19015,Boone
19075,Grundy
19091,Humboldt
19151,Pocahontas
19055,Delaware
19101,Jefferson
19005,Allamakee
19181,Warren
19025,Calhoun
19083,Hardin
19069,Franklin
19023,Butler
19133,Monona
19085,Harrison
19137,Montgomery
19111,Lee
19037,Chickasaw
19197,Wright
19179,Wapello
19121,Madison
19095,Iowa
19143,Osceola
19051,Davis
19047,Crawford
19145,Page
19043,Clayton
19057,Des Moines
19007,Appanoose
19107,Keokuk
19077,Guthrie
19129,Mills
19021,Buena Vista
19087,Henry
19053,Decatur
19097,Jackson
19155,Pottawattamie
19079,Hamilton
19035,Cherokee
19001,Adair
19175,Union
19167,Sioux
19089,Howard
19119,Lyon
19185,Wayne
19039,Clarke
19117,Lucas
19031,Cedar
19071,Fremont
19177,Van Buren
19105,Jones
,#N/A
