RECIP_ADDRESS_COUNTY,* Percent Vaccinated by Resident County,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19153,0.511813465371582,237580,13291
19161,0.42351609916675239,3776,341
19027,0.5007190676915447,9083,1014
19013,0.4729402261712439,56624,5439
19017,0.48551592051711758,11110,1058
19019,0.42861865407319957,8438,638
19103,0.5841206828106391,83358,4926
19195,0.41539086844601005,2875,191
19033,0.49799764428739698,19407,1733
19081,0.40056444026340545,3795,463
19169,0.5107344749117044,46836,2765
19139,0.47245921620101258,16111,4046
19165,0.4787847040335254,5254,230
19009,0.490174672489083,2540,154
19191,0.5127307288279726,9355,895
19065,0.43888040712468198,8030,594
19061,0.5222944990802684,49032,1793
19147,0.4134593742966464,3442,232
19183,0.4538128841338493,9255,713
19003,0.4292059966685175,1484,62
19173,0.376409083483091,2227,77
19041,0.4245754245754246,6397,403
19125,0.41202297537064327,11556,2145
19123,0.33885494455759226,6678,809
19157,0.47292477302204929,8287,464
19099,0.46037380664246338,15528,1591
19073,0.46377137713771379,3604,518
19113,0.5281509973269345,111230,8505
19049,0.5125143120071052,45489,2407
19193,0.39960429456777915,36566,4636
19171,0.4795300818796725,7231,851
19109,0.4371160467157227,5913,562
19187,0.45086898395721927,14794,1394
19011,0.4577500487424449,10836,903
19045,0.4135346442955911,17741,1459
19067,0.42507352001022888,6102,547
19189,0.42949584701564616,3865,582
19131,0.3961836387681844,3985,209
19029,0.471252726706139,5688,361
19135,0.37459452445828469,2563,324
19127,0.4986918641570779,16960,2673
19063,0.4095351867940921,3458,313
19159,0.4194932570494483,2013,40
19115,0.3991844132306298,3357,1048
19163,0.41906871049999136,67179,5296
19149,0.4160543353060333,8359,2116
19059,0.47346158303395527,7895,276
19093,0.3922740524781341,2278,413
19015,0.5176107341617748,12827,752
19141,0.4135097796844325,5159,528
19075,0.4973021582733813,5595,488
19091,0.4001883239171375,3458,367
19151,0.4284635141260009,2613,223
19055,0.4310152254423608,6487,845
19101,0.38513254987701558,6329,717
19005,0.3887630598378023,5090,231
19181,0.46411222943302379,22523,1363
19025,0.4802441042614812,4295,348
19083,0.4475839962008785,6614,926
19069,0.4243296921549156,3897,376
19023,0.47683357573239146,6441,444
19133,0.42379570516540918,3411,240
19085,0.3841554559043348,5034,363
19137,0.4368256529192296,3803,529
19111,0.38366461657307546,11348,1565
19197,0.45971978984238179,4863,912
19179,0.3836254968686551,11018,2397
19121,0.4250214224507284,6605,339
19143,0.37831487076200068,2032,222
19051,0.2902222222222222,2450,162
19047,0.4150416171224732,5659,1322
19145,0.417819553849209,5775,537
19043,0.39580602883355178,6361,585
19057,0.38807195832370985,14227,895
19007,0.3705134395622083,4180,424
19107,0.3688268592621511,3476,303
19077,0.4746936102535317,4730,344
19129,0.38970150241577869,5608,280
19021,0.48848114169215087,6580,3004
19087,0.42192041695900575,6818,1601
19079,0.5034183984295675,6758,679
19035,0.4336448598130841,4498,374
19001,0.4057606263982103,2581,321
19037,0.43660437442386659,4511,699
19095,0.5055610479485913,7477,705
19167,0.3335819824989241,9936,1691
19089,0.4087136929460581,3269,474
19119,0.29391748192258618,3279,176
19185,0.33457537649433319,1981,174
19039,0.4187333688131985,3223,711
19155,0.40295689118726266,35405,2153
19117,0.3663953488372093,2744,407
19031,0.4832769635475385,8332,670
19175,0.40715627808185608,4711,273
19071,0.36623563218390806,2351,198
19053,0.31626429479034309,2256,233
19177,0.3252413401476434,2073,218
19097,0.4298575029579711,7977,379
19105,0.48276195541801655,8944,1040
,,38,5
