date,County,Tests over Individuals
2/20/2021,Adair,110
2/20/2021,Adams,8
2/20/2021,Allamakee,44
2/20/2021,Appanoose,157
2/20/2021,Audubon,16
2/20/2021,Benton,144
2/20/2021,Black Hawk,1340
2/20/2021,Boone,176
2/20/2021,Bremer,121
2/20/2021,Buchanan,89
2/20/2021,Buena Vista,620
2/20/2021,Butler,84
2/20/2021,Calhoun,46
2/20/2021,Carroll,194
2/20/2021,Cass,65
2/20/2021,Cedar,72
2/20/2021,Cerro Gordo,346
2/20/2021,Cherokee,92
2/20/2021,Chickasaw,63
2/20/2021,Clarke,55
2/20/2021,Clay,99
2/20/2021,Clayton,82
2/20/2021,Clinton,429
2/20/2021,Crawford,221
2/20/2021,Dallas,1191
2/20/2021,Davis,70
2/20/2021,Decatur,15
2/20/2021,Delaware,40
2/20/2021,Des Moines,307
2/20/2021,Dickinson,153
2/20/2021,Dubuque,1140
2/20/2021,Emmet,69
2/20/2021,Fayette,75
2/20/2021,Floyd,156
2/20/2021,Franklin,95
2/20/2021,Fremont,32
2/20/2021,Greene,41
2/20/2021,Grundy,70
2/20/2021,Guthrie,77
2/20/2021,Hamilton,181
2/20/2021,Hancock,94
2/20/2021,Hardin,120
2/20/2021,Harrison,123
2/20/2021,Henry,140
2/20/2021,Howard,39
2/20/2021,Humboldt,47
2/20/2021,Ida,102
2/20/2021,Iowa,60
2/20/2021,Jackson,117
2/20/2021,Jasper,311
2/20/2021,Jefferson,104
2/20/2021,Johnson,730
2/20/2021,Jones,90
2/20/2021,Keokuk,64
2/20/2021,Kossuth,104
2/20/2021,Lee,212
2/20/2021,Linn,1193
2/20/2021,Louisa,58
2/20/2021,Lucas,28
2/20/2021,Lyon,4
2/20/2021,Madison,131
2/20/2021,Mahaska,95
2/20/2021,Marion,190
2/20/2021,Marshall,345
2/20/2021,Mills,150
2/20/2021,Mitchell,107
2/20/2021,Monona,53
2/20/2021,Monroe,40
2/20/2021,Montgomery,73
2/20/2021,Muscatine,292
2/20/2021,O'Brien,137
2/20/2021,Osceola,23
2/20/2021,Page,58
2/20/2021,Palo Alto,45
2/20/2021,Pending Investigation,21
2/20/2021,Plymouth,276
2/20/2021,Pocahontas,44
2/20/2021,Polk,6429
2/20/2021,Pottawattamie,955
2/20/2021,Poweshiek,70
2/20/2021,Ringgold,19
2/20/2021,Sac,70
2/20/2021,Scott,1234
2/20/2021,Shelby,55
2/20/2021,Sioux,164
2/20/2021,Story,657
2/20/2021,Tama,117
2/20/2021,Taylor,24
2/20/2021,Union,77
2/20/2021,Van Buren,23
2/20/2021,Wapello,316
2/20/2021,Warren,449
2/20/2021,Washington,153
2/20/2021,Wayne,37
2/20/2021,Webster,255
2/20/2021,Winnebago,84
2/20/2021,Winneshiek,63
2/20/2021,Woodbury,1205
2/20/2021,Worth,34
2/20/2021,Wright,63
2/20/2021,Totals,26758
