RECIP_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19163,69594,64518,5076
19175,4840,4589,251
19085,5291,4940,351
19169,48266,45619,2647
19189,4350,3781,569
19167,11342,9715,1627
19123,7254,6487,767
19031,8778,8121,657
19153,239612,227168,12444
19061,49781,48096,1685
19049,45779,43493,2286
19083,7400,6502,898
19027,9904,8911,993
19055,7176,6350,826
19179,12918,10628,2290
19127,18782,16326,2456
19161,4061,3728,333
19013,59889,54637,5252
19017,11794,10769,1025
19019,8738,8135,603
19195,2968,2795,173
19033,20465,18854,1611
19081,4156,3712,444
19139,19393,15616,3777
19053,2427,2204,223
19165,5371,5153,218
19009,2637,2489,148
19191,9986,9127,859
19103,85916,81287,4629
19155,35898,33817,2081
19181,23086,21833,1253
19075,5983,5522,461
19065,8423,7869,554
19147,3589,3370,219
19099,16554,15006,1548
19183,9694,9015,679
19193,39691,35243,4448
19003,1501,1445,56
19173,2239,2169,70
19041,6638,6264,374
19095,7949,7287,662
19125,13294,11191,2103
19157,8497,8056,441
19073,4011,3506,505
19113,115900,107808,8092
19079,7258,6597,661
19171,7843,7059,784
19109,6272,5737,535
19187,15757,14443,1314
19089,3618,3181,437
19015,13139,12426,713
19011,11423,10547,876
19117,3060,2682,378
19045,18432,17055,1377
19149,10185,8130,2055
19067,6436,5953,483
19131,4086,3898,188
19029,5924,5574,350
19135,2808,2500,308
19063,3702,3392,310
19159,2018,1980,38
19115,4274,3261,1013
19059,8001,7743,258
19093,2602,2206,396
19141,5567,5062,505
19091,3737,3389,348
19151,2724,2516,208
19101,6805,6106,699
19005,5215,4999,216
19025,4558,4228,330
19069,4184,3822,362
19023,6703,6289,414
19133,3604,3388,216
19137,4226,3706,520
19111,12407,10919,1488
19197,5665,4772,893
19121,6747,6435,312
19143,2199,1999,200
19051,2514,2361,153
19047,6775,5475,1300
19145,6141,5638,503
19043,6832,6273,559
19097,8193,7830,363
19107,3695,3406,289
19057,14547,13696,851
19185,2053,1888,165
19039,3791,3098,693
19087,8161,6630,1531
19035,4782,4428,354
19077,4907,4583,324
19021,9236,6297,2939
19105,9755,8752,1003
19007,4488,4080,408
19037,5086,4414,672
19129,5731,5458,273
19119,3395,3233,162
19071,2516,2319,197
19001,2850,2534,316
19177,2227,2033,194
,45,39,6
